"skill_name","data_engineering_skill_count"
"sql","142062"
"python","137245"
"aws","81578"
"azure","77054"
"spark","69905"
"java","45814"
"kafka","38890"
"scala","37453"
"hadoop","36762"
"snowflake","35821"
"databricks","35353"
"airflow","34279"
"nosql","29000"
"gcp","28550"
"redshift","24807"
"git","23944"
"tableau","23519"
"power bi","23046"
"mongodb","21238"
"sql server","21108"
"docker","20418"
"pyspark","20279"
"oracle","20203"
"kubernetes","19831"
"r","15211"
"bigquery","13630"
"linux","13628"
"terraform","13592"
"mysql","13455"
"flow","12407"
"shell","12381"
"ssis","12370"
"postgresql","12102"
"go","11878"
"jenkins","11807"
"excel","9997"
"github","9294"
"cassandra","9153"
"jira","9147"
"sas","9040"
"c#","7806"
"pandas","7732"
"javascript","7183"
"sap","6801"
"unix","6612"
"looker","5639"
"elasticsearch","5569"
"t-sql","5503"
"c++","5306"
"dynamodb","5099"
"gitlab","5092"
"bash","5036"
"confluence","4485"
"qlik","4348"
"ansible","4270"
"windows","4099"
"powershell","4050"
"ssrs","4039"
"word","3912"
"c","3597"
"numpy","3458"
"ruby","3214"
"mongo","3112"
"redis","3049"
"tensorflow","2910"
"dax","2786"
"alteryx","2765"
"bitbucket","2676"
"gdpr","2619"
"react","2595"
"spring","2470"
"jupyter","2418"
"db2","2376"
"aurora","2245"
"pytorch","2199"
"express","1959"
"scikit-learn","1949"
"splunk","1935"
"golang","1826"
"neo4j","1802"
"flask","1779"
"no-sql","1763"
"angular","1750"
"html","1694"
"typescript","1613"
"perl","1582"
"yarn","1580"
"cognos","1578"
"microstrategy","1577"
"chef","1451"
"powerpoint","1445"
"django","1408"
"graphql","1361"
"php","1308"
"css","1254"
"sharepoint","1212"
"node.js","1178"
"matlab","1009"
"kotlin","987"
"keras","969"
"vba","947"
"outlook","934"
"vmware","896"
"visio","891"
"ibm cloud","883"
"fastapi","879"
"selenium","866"
"atlassian","830"
"rust","822"
"puppet","817"
"slack","796"
"node","790"
"matplotlib","758"
"vue","749"
"unity","731"
"mariadb","621"
"svn","565"
"phoenix","559"
"notion","545"
"unify","532"
"groovy","491"
"firebase","486"
"spss","466"
"couchbase","458"
"zoom","451"
"plotly","422"
"assembly","398"
"swift","393"
"crystal","393"
"sheets","386"
"redhat","384"
"julia","367"
"ubuntu","347"
"asp.net","337"
"terminal","330"
"jquery","324"
"seaborn","314"
"centos","276"
"visual basic","251"
"colocation","248"
"pulumi","245"
"firestore","230"
"vue.js","224"
"openstack","221"
"react.js","218"
"spreadsheet","195"
"macos","185"
"planner","179"
"watson","176"
"trello","174"
"ruby on rails","169"
"ms access","159"
"couchdb","150"
"opencv","142"
"codecommit","141"
"clojure","136"
"microsoft teams","133"
"solidity","133"
"nltk","130"
"cobol","128"
"datarobot","128"
"vb.net","127"
"flutter","124"
"wire","124"
"haskell","122"
"asana","112"
"sqlite","110"
"f#","107"
"elixir","99"
"rshiny","94"
"sass","92"
"laravel","90"
"airtable","88"
"debian","81"
"symphony","75"
"npm","75"
"mxnet","74"
"ggplot2","72"
"heroku","72"
"smartsheet","70"
"dplyr","70"
"twilio","66"
"ovh","65"
"arch","64"
"angular.js","64"
"unreal","63"
"dart","63"
"next.js","59"
"lua","58"
"erlang","55"
"theano","54"
"drupal","53"
"clickup","51"
"webex","51"
"asp.net core","48"
"symfony","48"
"hugging face","42"
"ionic","41"
"powerbi","37"
"fortran","35"
"digitalocean","33"
"objective-c","30"
"delphi","29"
"suse","28"
"pascal","28"
"ringcentral","27"
"electron","27"
"tidyverse","26"
"monday.com","25"
"gatsby","24"
"cordova","24"
"svelte","23"
"qt","20"
"blazor","19"
"apl","19"
"play framework","18"
"wsl","18"
"lisp","17"
"mlpack","15"
"mattermost","15"
"xamarin","13"
"google chat","13"
"sqlserver","11"
"fedora","11"
"nuix","7"
"ocaml","6"
"wrike","6"
"kali","5"
"linode","4"
"shogun","4"
"fastify","4"
"mlr","4"
"workfront","4"
"dlib","3"
"capacitor","3"
"homebrew","3"
"nuxt.js","3"
"ember.js","3"
"asp.netcore","2"
"dingtalk","1"
"chainer","1"
