job_title,job_location,company_name,salary_year_avg,count
Senior Data Scientist,United States,Harnham,170000.0,3
Senior Data Scientist,"Houston, TX",Jobot,170000.0,3
Senior data scientist,"Fort Lauderdale, FL",Microsoft,91800.0,3
Senior Data Scientist,"Mountain View, CA",Waymo,200000.0,2
"Senior Data Scientist, TikTok Experience","San Jose, CA",TikTok,252844.0,2
Senior Data Scientist,"Houston, TX",Jobot,175000.0,2
Senior Data Scientist,"Glendale, CA",Public Storage,160000.0,2
Senior Data Scientist,"Woonsocket, RI",CVS Health,115000.0,2
Senior Data Scientist,Anywhere,Mission Loans LLC,114000.0,2
Senior Data Scientist,Anywhere,Harnham,110000.0,2
Senior Data Scientist,Anywhere,Harnham,130000.0,2
Sr Principal Data Scientist,"Clearfield, UT",Northrop Grumman,154000.0,2
Senior Geoscience Data Scientist,United Kingdom,CGG,157500.0,1
Senior Data Scientist/Methodologist,"Washington, DC",Bright Star Solutions LLC,210000.0,1
Senior Data Scientist,"Tel Aviv-Yafo, Israel",Hello Heart,157500.0,1
Sr. Data Scientist-Health Analytics resource for Veterans Affairs,Anywhere,Corvus Technology Resources,140000.0,1
Senior Data Scientist,United States,Lawrence Harvey,160000.0,1
Senior Data Scientist,Unknown,Algo Capital Group,375000.0,1
Senior Data Scientist,Unknown,"InVitro Cell Research, LLC",160000.0,1
Senior Data Scientist,"Warsaw, Poland",Snowflake Inc.,157500.0,1
Sr Dir & Data Scientist - AI & Underwriting Automation,"Hartford, CT",The Travelers Indemnity Company,204000.0,1
Senior/Lead Data Scientist,"Prague, Czechia",Lyft,157500.0,1
"Senior Quantitative Analyst, Data Science","Hicksville, NY",National Grid (UK),134000.0,1
Senior Data Scientist (AI/ML),Anywhere,Summit Consulting,160000.0,1
Senior Data Scientist (Credit Risk),Anywhere,Engtal,167500.0,1
"Senior Data Scientist (Philadelphia, PA)",United States,Chubb,125250.0,1
"Senior Data Scientist , Health Equity – Chicago, Boston, OR Remote",Anywhere,CVS Health,135000.0,1
Senior Data Scientist - Discovery Experiences,"San Mateo, CA",Roblox,327330.0,1
Senior Data Scientist - Product Analytics,"Mountain View, CA",TikTok,196800.0,1
Senior Principal Data Scientist,"Clearfield, UT",Northrop Grumman,123000.0,1
Senior Data Scientist - Remote,Anywhere,UnitedHealth Group,126000.0,1
Senior Data Scientist - Risk Modeler (Hybrid),"Irving, TX",Citi,116600.0,1
