"skill_name","demand_count","avg_salary_per_skill"
"cassandra","7","289000"
"unreal","1","222000"
"splunk","5","218000"
"vba","2","213000"
"perl","2","211000"
"spring","5","211000"
"c#","13","207000"
"neo4j","9","206000"
"hadoop","65","206000"
"asana","1","200000"
"c++","31","199000"
"qlik","5","197000"
"airtable","2","196000"
"spark","186","196000"
"flask","11","195000"
"slack","2","195000"
"airflow","58","194000"
"seaborn","9","193000"
"go","94","192000"
"express","17","192000"
"kafka","17","192000"
"java","55","191000"
"matlab","25","189000"
"css","2","188000"
"ggplot2","3","188000"
"r","309","187000"
"planner","1","187000"
"scala","68","187000"
"gdpr","8","186000"
"redis","2","185000"
"flow","31","185000"
"python","684","184000"
"zoom","3","183000"
"pytorch","110","183000"
"ringcentral","2","183000"
"sql","536","182000"
"tableau","135","182000"
"postgresql","5","182000"
"matplotlib","27","181000"
"c","36","181000"
"plotly","15","181000"
"outlook","6","180000"
"no-sql","2","180000"
"tidyverse","3","179000"
"aws","162","179000"
"sql server","7","178000"
"databricks","37","178000"
"word","9","178000"
"html","4","178000"
"ibm cloud","1","178000"
"tensorflow","122","178000"
"crystal","3","178000"
"watson","4","178000"
"assembly","1","177000"
"react","3","177000"
"vue","4","177000"
"elasticsearch","8","177000"
"dynamodb","7","177000"
"keras","32","177000"
"nltk","8","177000"
"excel","62","177000"
"powerpoint","17","177000"
"azure","74","177000"
"numpy","66","176000"
"linux","16","176000"
"unify","3","176000"
"sharepoint","3","176000"
"datarobot","2","175000"
"bigquery","36","175000"
"aurora","2","175000"
"swift","1","175000"
"atlassian","7","175000"
"scikit-learn","69","174000"
"bash","1","174000"
"opencv","5","174000"
"mxnet","3","174000"
"nosql","34","174000"
"theano","3","174000"
"hugging face","5","174000"
"gcp","50","174000"
"julia","4","173000"
"looker","54","173000"
"mongodb","10","173000"
"pyspark","29","172000"
"pandas","88","172000"
"power bi","32","172000"
"snowflake","68","172000"
"terminal","9","172000"
"windows","7","172000"
"kubernetes","12","171000"
"sap","6","171000"
"git","76","171000"
"sas","86","171000"
"django","7","171000"
"jira","12","170000"
"redshift","27","170000"
"shell","5","170000"
"mysql","13","170000"
"jenkins","7","170000"
"oracle","14","169000"
"javascript","16","168000"
"jupyter","28","168000"
"docker","35","168000"
"phoenix","1","168000"
"angular","2","167000"
"rust","1","166000"
"ansible","1","166000"
"github","23","166000"
"sqlite","1","165000"
"spss","3","165000"
"unix","1","165000"
"alteryx","3","163000"
"fastapi","2","163000"
"gitlab","9","162000"
"confluence","10","160000"
"cognos","2","159000"
"ssis","4","159000"
"terraform","1","158000"
"microstrategy","1","158000"
"unity","2","158000"
"svn","1","158000"
"golang","1","155000"
"fortran","1","154000"
"bitbucket","2","154000"
