"skill_name","demand_count","avg_salary_per_skill"
"hadoop","61","202000"
"airflow","54","194000"
"spark","175","194000"
"c++","29","193000"
"go","85","192000"
"java","53","191000"
"r","286","187000"
"scala","68","187000"
"pytorch","104","184000"
"python","636","183000"
"matplotlib","26","182000"
"tableau","128","181000"
"sql","498","181000"
"keras","27","180000"
"c","34","180000"
"aws","154","180000"
"flow","29","180000"
"tensorflow","114","179000"
"databricks","36","179000"
"numpy","59","178000"
"azure","67","177000"
"excel","61","177000"
"bigquery","34","176000"
"gcp","46","175000"
"nosql","34","174000"
"scikit-learn","64","174000"
"snowflake","63","173000"
"power bi","30","173000"
"looker","52","173000"
"pandas","81","173000"
"git","71","172000"
"pyspark","29","172000"
"sas","74","171000"
"docker","34","168000"
"jupyter","28","168000"
