"sector_name","company_name","senior_ds_companies"
"Banking & Financial Services","Wells Fargo","155"
"Banking & Financial Services","Visa","152"
"Banking & Financial Services","Citi","121"
"Banking & Financial Services","Fidelity Investments","92"
"Banking & Financial Services","Airwallex","53"
"Consulting","Booz Allen Hamilton","304"
"Consulting","Guidehouse","180"
"Consulting","Deloitte","123"
"Consulting","Capgemini","68"
"Consulting","EY","67"
"Healthcare & Biotechnology","UnitedHealth Group","115"
"Healthcare & Biotechnology","CVS Health","112"
"Healthcare & Biotechnology","Humana","78"
"Healthcare & Biotechnology","Elevance Health","72"
"Healthcare & Biotechnology","AstraZeneca","65"
"Recruitment","Harnham","375"
"Recruitment","Emprego","311"
"Recruitment","Michael Page","89"
"Recruitment","Jobot","65"
"Recruitment","Vesterling AG","57"
"Retail","Walmart","391"
"Retail","Amazon","94"
"Retail","Walgreens","90"
"Retail","Target","81"
"Retail","Etsy","54"
"Technology","Oracle","83"
"Technology","Dice","72"
"Technology","EPAM Systems","69"
"Technology","BairesDev","61"
"Technology","Microsoft","57"
