"skill_name","senior_ds_skill_count"
"python","25996"
"sql","18661"
"r","12772"
"aws","7468"
"spark","6638"
"sas","6292"
"tableau","5959"
"azure","5529"
"tensorflow","5068"
"pytorch","4386"
"pandas","3614"
"hadoop","3534"
"excel","3285"
"scikit-learn","3244"
"java","3135"
"git","2963"
"scala","2856"
"power bi","2788"
"gcp","2618"
"numpy","2510"
"databricks","2268"
"go","2102"
"docker","2015"
"snowflake","1891"
"keras","1880"
"pyspark","1847"
"nosql","1695"
"airflow","1407"
"kubernetes","1336"
"looker","1324"
"c++","1281"
"flow","1275"
"matplotlib","1174"
"mongodb","1172"
"oracle","1160"
"linux","1112"
"matlab","1089"
"bigquery","1069"
"word","988"
"github","969"
"jupyter","968"
"powerpoint","948"
"redshift","886"
"kafka","874"
"sql server","867"
"c","841"
"javascript","790"
"mysql","730"
"sap","721"
"jira","717"
"qlik","661"
"plotly","575"
"spss","545"
"postgresql","537"
"windows","524"
"c#","503"
"seaborn","485"
"jenkins","471"
"alteryx","432"
"express","432"
"nltk","426"
"elasticsearch","385"
"shell","380"
"flask","327"
"confluence","325"
"opencv","314"
"gitlab","299"
"bash","290"
"unix","288"
"outlook","266"
"julia","265"
"gdpr","261"
"cassandra","252"
"hugging face","243"
"ssis","235"
"terraform","230"
"vba","226"
"splunk","222"
"html","217"
"ruby","216"
"neo4j","214"
"react","204"
"mxnet","204"
"ggplot2","197"
"redis","175"
"microstrategy","166"
"dax","165"
"spring","165"
"theano","162"
"bitbucket","157"
"ssrs","148"
"django","148"
"perl","147"
"fastapi","143"
"t-sql","137"
"css","135"
"golang","132"
"no-sql","129"
"sharepoint","127"
"atlassian","123"
"slack","113"
"cognos","104"
"angular","101"
"chef","99"
"dynamodb","93"
"tidyverse","91"
"visual basic","90"
"vue","89"
"db2","86"
"dplyr","83"
"notion","83"
"swift","82"
"watson","80"
"zoom","79"
"terminal","76"
"rust","76"
"php","75"
"spreadsheet","75"
"rshiny","75"
"sheets","75"
"ibm cloud","74"
"datarobot","73"
"visio","71"
"phoenix","71"
"unity","69"
"powershell","65"
"jquery","64"
"mongo","63"
"ansible","62"
"svn","62"
"yarn","61"
"aurora","56"
"selenium","54"
"node","51"
"crystal","51"
"typescript","50"
"kotlin","48"
"assembly","47"
"node.js","46"
"ms access","45"
"firebase","44"
"unify","40"
"vmware","38"
"macos","38"
"graphql","37"
"twilio","36"
"symphony","32"
"sqlite","31"
"planner","30"
"fortran","27"
"arch","25"
"ubuntu","24"
"centos","22"
"codecommit","21"
"unreal","20"
"electron","19"
"openstack","19"
"tidyr","18"
"solidity","18"
"mlr","17"
"groovy","17"
"trello","16"
"digitalocean","16"
"flutter","15"
"wsl","14"
"fedora","13"
"clickup","12"
"microsoft teams","12"
"couchbase","11"
"npm","11"
"asana","11"
"haskell","11"
"asp.net","11"
"redhat","10"
"airtable","10"
"cordova","10"
"ringcentral","10"
"vb.net","9"
"couchdb","8"
"puppet","7"
"react.js","7"
"ruby on rails","7"
"monday.com","7"
"drupal","7"
"wire","7"
"apl","6"
"powerbi","6"
"vue.js","6"
"sass","6"
"mariadb","6"
"dart","5"
"smartsheet","5"
"dlib","5"
"firestore","5"
"clojure","5"
"qt","4"
"cobol","4"
"ovh","3"
"lua","3"
"ionic","2"
"mlpack","2"
"asp.net core","2"
"laravel","2"
"nuix","2"
"debian","2"
"elixir","2"
"pulumi","2"
"sqlserver","2"
"shogun","1"
"delphi","1"
"symfony","1"
"objective-c","1"
"wrike","1"
"kali","1"
"webex","1"
